,Unemployment
2014-12-28,0
2015-01-04,0
2015-01-11,0
2015-01-18,35
2015-01-25,41
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,36
2015-03-15,0
2015-03-22,50
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,39
2015-04-26,0
2015-05-03,30
2015-05-10,0
2015-05-17,0
2015-05-24,30
2015-05-31,37
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,37
2015-08-02,43
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,33
2015-09-06,27
2015-09-13,0
2015-09-20,0
2015-09-27,30
2015-10-04,53
2015-10-11,38
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,41
2015-11-15,41
2015-11-22,32
2015-11-29,35
2015-12-06,41
2015-12-13,0
2015-12-20,29
2015-12-27,0
2016-01-03,0
2016-01-10,35
2016-01-17,33
2016-01-24,44
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,32
2016-02-28,0
2016-03-06,0
2016-03-13,44
2016-03-20,28
2016-03-27,32
2016-04-03,36
2016-04-10,0
2016-04-17,30
2016-04-24,33
2016-05-01,42
2016-05-08,0
2016-05-15,41
2016-05-22,0
2016-05-29,25
2016-06-05,35
2016-06-12,42
2016-06-19,36
2016-06-26,0
2016-07-03,31
2016-07-10,24
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,25
2016-09-25,31
2016-10-02,27
2016-10-09,0
2016-10-16,0
2016-10-23,31
2016-10-30,27
2016-11-06,0
2016-11-13,30
2016-11-20,29
2016-11-27,0
2016-12-04,31
2016-12-11,29
2016-12-18,23
2016-12-25,0
2017-01-01,28
2017-01-08,28
2017-01-15,37
2017-01-22,0
2017-01-29,27
2017-02-05,49
2017-02-12,0
2017-02-19,30
2017-02-26,22
2017-03-05,40
2017-03-12,23
2017-03-19,0
2017-03-26,0
2017-04-02,25
2017-04-09,0
2017-04-16,0
2017-04-23,34
2017-04-30,32
2017-05-07,44
2017-05-14,43
2017-05-21,29
2017-05-28,0
2017-06-04,0
2017-06-11,26
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,33
2017-07-16,0
2017-07-23,48
2017-07-30,34
2017-08-06,34
2017-08-13,42
2017-08-20,28
2017-08-27,25
2017-09-03,0
2017-09-10,37
2017-09-17,34
2017-09-24,32
2017-10-01,0
2017-10-08,26
2017-10-15,0
2017-10-22,33
2017-10-29,0
2017-11-05,45
2017-11-12,27
2017-11-19,37
2017-11-26,24
2017-12-03,45
2017-12-10,0
2017-12-17,27
2017-12-24,37
2017-12-31,0
2018-01-07,0
2018-01-14,44
2018-01-21,38
2018-01-28,26
2018-02-04,26
2018-02-11,23
2018-02-18,36
2018-02-25,23
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,48
2018-04-08,41
2018-04-15,59
2018-04-22,33
2018-04-29,59
2018-05-06,32
2018-05-13,30
2018-05-20,23
2018-05-27,48
2018-06-03,38
2018-06-10,28
2018-06-17,46
2018-06-24,33
2018-07-01,27
2018-07-08,28
2018-07-15,37
2018-07-22,34
2018-07-29,100
2018-08-05,68
2018-08-12,35
2018-08-19,38
2018-08-26,31
2018-09-02,44
2018-09-09,41
2018-09-16,22
2018-09-23,25
2018-09-30,28
2018-10-07,38
2018-10-14,32
2018-10-21,54
2018-10-28,47
2018-11-04,25
2018-11-11,22
2018-11-18,24
2018-11-25,0
2018-12-02,51
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,23
2019-01-13,0
2019-01-20,39
2019-01-27,30
2019-02-03,28
2019-02-10,0
2019-02-17,25
2019-02-24,40
2019-03-03,28
2019-03-10,35
2019-03-17,41
2019-03-24,40
2019-03-31,37
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,22
2019-05-05,0
2019-05-12,0
2019-05-19,96
2019-05-26,80
2019-06-02,23
2019-06-09,0
2019-06-16,0
2019-06-23,36
2019-06-30,47
2019-07-07,36
2019-07-14,39
2019-07-21,81
2019-07-28,70
2019-08-04,41
2019-08-11,33
2019-08-18,34
2019-08-25,40
2019-09-01,22
2019-09-08,59
2019-09-15,22
2019-09-22,27
2019-09-29,42
2019-10-06,34
2019-10-13,0
2019-10-20,50
2019-10-27,47
2019-11-03,50
2019-11-10,28
2019-11-17,34
2019-11-24,43
2019-12-01,35
2019-12-08,27
2019-12-15,57
2019-12-22,51
2019-12-29,46
2020-01-05,50
