,Food Production
2014-12-28,35
2015-01-04,29
2015-01-11,63
2015-01-18,51
2015-01-25,53
2015-02-01,52
2015-02-08,48
2015-02-15,68
2015-02-22,61
2015-03-01,47
2015-03-08,55
2015-03-15,62
2015-03-22,50
2015-03-29,56
2015-04-05,53
2015-04-12,37
2015-04-19,64
2015-04-26,48
2015-05-03,54
2015-05-10,52
2015-05-17,58
2015-05-24,70
2015-05-31,49
2015-06-07,79
2015-06-14,67
2015-06-21,69
2015-06-28,62
2015-07-05,66
2015-07-12,55
2015-07-19,65
2015-07-26,58
2015-08-02,58
2015-08-09,69
2015-08-16,40
2015-08-23,45
2015-08-30,55
2015-09-06,67
2015-09-13,72
2015-09-20,60
2015-09-27,63
2015-10-04,62
2015-10-11,70
2015-10-18,52
2015-10-25,69
2015-11-01,79
2015-11-08,65
2015-11-15,61
2015-11-22,65
2015-11-29,53
2015-12-06,61
2015-12-13,62
2015-12-20,38
2015-12-27,57
2016-01-03,49
2016-01-10,58
2016-01-17,69
2016-01-24,60
2016-01-31,65
2016-02-07,75
2016-02-14,71
2016-02-21,63
2016-02-28,78
2016-03-06,72
2016-03-13,55
2016-03-20,62
2016-03-27,64
2016-04-03,63
2016-04-10,49
2016-04-17,54
2016-04-24,56
2016-05-01,67
2016-05-08,61
2016-05-15,82
2016-05-22,64
2016-05-29,64
2016-06-05,60
2016-06-12,82
2016-06-19,83
2016-06-26,84
2016-07-03,81
2016-07-10,69
2016-07-17,66
2016-07-24,62
2016-07-31,69
2016-08-07,66
2016-08-14,68
2016-08-21,73
2016-08-28,72
2016-09-04,78
2016-09-11,55
2016-09-18,62
2016-09-25,68
2016-10-02,58
2016-10-09,71
2016-10-16,68
2016-10-23,73
2016-10-30,65
2016-11-06,62
2016-11-13,75
2016-11-20,65
2016-11-27,68
2016-12-04,71
2016-12-11,58
2016-12-18,73
2016-12-25,51
2017-01-01,58
2017-01-08,70
2017-01-15,84
2017-01-22,77
2017-01-29,72
2017-02-05,71
2017-02-12,60
2017-02-19,61
2017-02-26,80
2017-03-05,75
2017-03-12,61
2017-03-19,77
2017-03-26,73
2017-04-02,60
2017-04-09,50
2017-04-16,77
2017-04-23,65
2017-04-30,57
2017-05-07,61
2017-05-14,66
2017-05-21,81
2017-05-28,82
2017-06-04,59
2017-06-11,61
2017-06-18,72
2017-06-25,75
2017-07-02,70
2017-07-09,72
2017-07-16,70
2017-07-23,76
2017-07-30,47
2017-08-06,60
2017-08-13,81
2017-08-20,66
2017-08-27,74
2017-09-03,69
2017-09-10,69
2017-09-17,87
2017-09-24,78
2017-10-01,69
2017-10-08,80
2017-10-15,99
2017-10-22,72
2017-10-29,75
2017-11-05,71
2017-11-12,72
2017-11-19,79
2017-11-26,68
2017-12-03,64
2017-12-10,61
2017-12-17,70
2017-12-24,68
2017-12-31,80
2018-01-07,75
2018-01-14,73
2018-01-21,81
2018-01-28,57
2018-02-04,55
2018-02-11,75
2018-02-18,69
2018-02-25,69
2018-03-04,74
2018-03-11,67
2018-03-18,68
2018-03-25,63
2018-04-01,53
2018-04-08,52
2018-04-15,48
2018-04-22,54
2018-04-29,66
2018-05-06,68
2018-05-13,67
2018-05-20,76
2018-05-27,88
2018-06-03,91
2018-06-10,92
2018-06-17,85
2018-06-24,68
2018-07-01,77
2018-07-08,67
2018-07-15,82
2018-07-22,63
2018-07-29,65
2018-08-05,86
2018-08-12,67
2018-08-19,66
2018-08-26,76
2018-09-02,67
2018-09-09,84
2018-09-16,69
2018-09-23,70
2018-09-30,77
2018-10-07,96
2018-10-14,80
2018-10-21,69
2018-10-28,90
2018-11-04,77
2018-11-11,52
2018-11-18,72
2018-11-25,72
2018-12-02,83
2018-12-09,80
2018-12-16,64
2018-12-23,68
2018-12-30,78
2019-01-06,87
2019-01-13,82
2019-01-20,82
2019-01-27,90
2019-02-03,76
2019-02-10,97
2019-02-17,91
2019-02-24,83
2019-03-03,82
2019-03-10,88
2019-03-17,88
2019-03-24,78
2019-03-31,78
2019-04-07,51
2019-04-14,56
2019-04-21,50
2019-04-28,64
2019-05-05,67
2019-05-12,56
2019-05-19,77
2019-05-26,73
2019-06-02,88
2019-06-09,80
2019-06-16,95
2019-06-23,87
2019-06-30,75
2019-07-07,94
2019-07-14,76
2019-07-21,85
2019-07-28,84
2019-08-04,100
2019-08-11,82
2019-08-18,74
2019-08-25,73
2019-09-01,86
2019-09-08,72
2019-09-15,70
2019-09-22,81
2019-09-29,70
2019-10-06,66
2019-10-13,71
2019-10-20,87
2019-10-27,73
2019-11-03,65
2019-11-10,60
2019-11-17,70
2019-11-24,73
2019-12-01,82
2019-12-08,76
2019-12-15,77
2019-12-22,69
2019-12-29,77
2020-01-05,96
