,Agrochemicals
2014-12-28,34.0
2015-01-04,18.0
2015-01-11,33.0
2015-01-18,27.0
2015-01-25,30.0
2015-02-01,37.0
2015-02-08,35.0
2015-02-15,34.0
2015-02-22,28.0
2015-03-01,31.0
2015-03-08,31.0
2015-03-15,33.0
2015-03-22,30.0
2015-03-29,34.0
2015-04-05,34.0
2015-04-12,12.0
2015-04-19,19.0
2015-04-26,40.0
2015-05-03,35.0
2015-05-10,43.0
2015-05-17,33.0
2015-05-24,49.0
2015-05-31,36.0
2015-06-07,37.0
2015-06-14,27.0
2015-06-21,35.0
2015-06-28,36.0
2015-07-05,34.0
2015-07-12,47.0
2015-07-19,31.0
2015-07-26,34.0
2015-08-02,27.0
2015-08-09,36.0
2015-08-16,28.0
2015-08-23,34.0
2015-08-30,34.0
2015-09-06,50.0
2015-09-13,29.0
2015-09-20,35.0
2015-09-27,25.0
2015-10-04,30.0
2015-10-11,33.0
2015-10-18,30.0
2015-10-25,34.0
2015-11-01,39.0
2015-11-08,30.0
2015-11-15,32.0
2015-11-22,49.0
2015-11-29,35.0
2015-12-06,35.0
2015-12-13,38.0
2015-12-20,42.0
2015-12-27,28.0
2016-01-03,39.0
2016-01-10,32.0
2016-01-17,39.0
2016-01-24,33.0
2016-01-31,33.0
2016-02-07,46.0
2016-02-14,47.0
2016-02-21,57.0
2016-02-28,51.0
2016-03-06,59.0
2016-03-13,47.0
2016-03-20,57.0
2016-03-27,45.0
2016-04-03,46.0
2016-04-10,31.0
2016-04-17,37.0
2016-04-24,66.0
2016-05-01,64.0
2016-05-08,66.0
2016-05-15,40.0
2016-05-22,64.0
2016-05-29,54.0
2016-06-05,58.0
2016-06-12,53.0
2016-06-19,50.0
2016-06-26,78.0
2016-07-03,44.0
2016-07-10,75.0
2016-07-17,67.0
2016-07-24,80.0
2016-07-31,56.0
2016-08-07,59.0
2016-08-14,47.0
2016-08-21,55.0
2016-08-28,52.0
2016-09-04,50.0
2016-09-11,43.0
2016-09-18,54.0
2016-09-25,55.0
2016-10-02,64.0
2016-10-09,75.0
2016-10-16,77.0
2016-10-23,87.0
2016-10-30,80.0
2016-11-06,65.0
2016-11-13,51.0
2016-11-20,71.0
2016-11-27,66.0
2016-12-04,57.0
2016-12-11,42.0
2016-12-18,59.0
2016-12-25,50.0
2017-01-01,49.0
2017-01-08,63.0
2017-01-15,76.0
2017-01-22,66.0
2017-01-29,71.0
2017-02-05,54.0
2017-02-12,53.0
2017-02-19,63.0
2017-02-26,64.0
2017-03-05,68.0
2017-03-12,63.0
2017-03-19,58.0
2017-03-26,64.0
2017-04-02,50.0
2017-04-09,28.0
2017-04-16,60.0
2017-04-23,100.0
2017-04-30,55.0
2017-05-07,54.0
2017-05-14,69.0
2017-05-21,53.0
2017-05-28,50.0
2017-06-04,54.0
2017-06-11,50.0
2017-06-18,63.0
2017-06-25,44.0
2017-07-02,47.0
2017-07-09,65.0
2017-07-16,82.0
2017-07-23,69.0
2017-07-30,57.0
2017-08-06,50.0
2017-08-13,62.0
2017-08-20,68.0
2017-08-27,56.0
2017-09-03,52.0
2017-09-10,53.0
2017-09-17,62.0
2017-09-24,69.0
2017-10-01,59.0
2017-10-08,53.0
2017-10-15,72.0
2017-10-22,51.0
2017-10-29,60.0
2017-11-05,57.0
2017-11-12,64.0
2017-11-19,56.0
2017-11-26,64.0
2017-12-03,46.0
2017-12-10,48.0
2017-12-17,46.0
2017-12-24,56.0
2017-12-31,48.0
2018-01-07,53.0
2018-01-14,55.0
2018-01-21,79.0
2018-01-28,58.0
2018-02-04,51.0
2018-02-11,58.0
2018-02-18,49.0
2018-02-25,42.0
2018-03-04,50.0
2018-03-11,49.0
2018-03-18,54.0
2018-03-25,69.0
2018-04-01,57.0
2018-04-08,41.0
2018-04-15,61.0
2018-04-22,87.0
2018-04-29,40.0
2018-05-06,53.0
2018-05-13,56.0
2018-05-20,69.0
2018-05-27,79.0
2018-06-03,61.0
2018-06-10,67.0
2018-06-17,52.0
2018-06-24,51.0
2018-07-01,50.0
2018-07-08,56.0
2018-07-15,81.0
2018-07-22,69.0
2018-07-29,74.0
2018-08-05,47.0
2018-08-12,76.0
2018-08-19,60.0
2018-08-26,61.0
2018-09-02,61.0
2018-09-09,54.0
2018-09-16,45.0
2018-09-23,52.0
2018-09-30,43.0
2018-10-07,51.0
2018-10-14,82.0
2018-10-21,62.0
2018-10-28,76.0
2018-11-04,58.0
2018-11-11,60.0
2018-11-18,56.0
2018-11-25,79.0
2018-12-02,48.0
2018-12-09,71.0
2018-12-16,53.0
2018-12-23,49.0
2018-12-30,46.0
2019-01-06,64.0
2019-01-13,55.0
2019-01-20,64.0
2019-01-27,71.0
2019-02-03,44.0
2019-02-10,49.0
2019-02-17,55.0
2019-02-24,50.0
2019-03-03,46.0
2019-03-10,56.0
2019-03-17,52.0
2019-03-24,56.0
2019-03-31,58.0
2019-04-07,53.0
2019-04-14,36.0
2019-04-21,61.0
2019-04-28,80.0
2019-05-05,62.0
2019-05-12,62.0
2019-05-19,54.0
2019-05-26,56.0
2019-06-02,59.0
2019-06-09,60.0
2019-06-16,55.0
2019-06-23,55.0
2019-06-30,50.0
2019-07-07,55.0
2019-07-14,62.0
2019-07-21,64.0
2019-07-28,70.0
2019-08-04,61.0
2019-08-11,58.0
2019-08-18,46.0
2019-08-25,71.0
2019-09-01,56.0
2019-09-08,57.0
2019-09-15,51.0
2019-09-22,52.0
2019-09-29,61.0
2019-10-06,47.0
2019-10-13,64.0
2019-10-20,54.0
2019-10-27,82.0
2019-11-03,50.0
2019-11-10,49.0
2019-11-17,59.0
2019-11-24,81.0
2019-12-01,67.0
2019-12-08,53.0
2019-12-15,52.0
2019-12-22,50.0
2019-12-29,73.0
2020-01-05,45.96264855687606
2020-01-12,58.73005093378608
2020-01-19,79.15789473684211
2020-01-26,91.92529711375212
2020-02-02,51.06960950764007
2020-02-09,63.83701188455009
2020-02-16,63.83701188455009
2020-02-23,68.9439728353141
