,Data Management
2014-12-28,0.0
2015-01-04,0.0
2015-01-11,65.0
2015-01-18,0.0
2015-01-25,60.0
2015-02-01,0.0
2015-02-08,63.0
2015-02-15,65.0
2015-02-22,72.0
2015-03-01,54.0
2015-03-08,0.0
2015-03-15,53.0
2015-03-22,59.0
2015-03-29,64.0
2015-04-05,66.0
2015-04-12,85.0
2015-04-19,0.0
2015-04-26,57.0
2015-05-03,0.0
2015-05-10,80.0
2015-05-17,0.0
2015-05-24,59.0
2015-05-31,71.0
2015-06-07,70.0
2015-06-14,0.0
2015-06-21,54.0
2015-06-28,88.0
2015-07-05,0.0
2015-07-12,0.0
2015-07-19,81.0
2015-07-26,0.0
2015-08-02,58.0
2015-08-09,60.0
2015-08-16,81.0
2015-08-23,61.0
2015-08-30,0.0
2015-09-06,0.0
2015-09-13,56.0
2015-09-20,0.0
2015-09-27,76.0
2015-10-04,67.0
2015-10-11,54.0
2015-10-18,70.0
2015-10-25,72.0
2015-11-01,0.0
2015-11-08,74.0
2015-11-15,0.0
2015-11-22,72.0
2015-11-29,53.0
2015-12-06,81.0
2015-12-13,60.0
2015-12-20,0.0
2015-12-27,0.0
2016-01-03,71.0
2016-01-10,0.0
2016-01-17,0.0
2016-01-24,0.0
2016-01-31,68.0
2016-02-07,0.0
2016-02-14,66.0
2016-02-21,63.0
2016-02-28,71.0
2016-03-06,88.0
2016-03-13,85.0
2016-03-20,64.0
2016-03-27,64.0
2016-04-03,60.0
2016-04-10,63.0
2016-04-17,61.0
2016-04-24,0.0
2016-05-01,62.0
2016-05-08,58.0
2016-05-15,74.0
2016-05-22,0.0
2016-05-29,93.0
2016-06-05,72.0
2016-06-12,0.0
2016-06-19,52.0
2016-06-26,0.0
2016-07-03,0.0
2016-07-10,0.0
2016-07-17,75.0
2016-07-24,58.0
2016-07-31,0.0
2016-08-07,0.0
2016-08-14,64.0
2016-08-21,0.0
2016-08-28,0.0
2016-09-04,62.0
2016-09-11,65.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,74.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,98.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,0.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,54.0
2017-02-12,67.0
2017-02-19,64.0
2017-02-26,68.0
2017-03-05,51.0
2017-03-12,77.0
2017-03-19,51.0
2017-03-26,68.0
2017-04-02,52.0
2017-04-09,0.0
2017-04-16,49.0
2017-04-23,70.0
2017-04-30,100.0
2017-05-07,64.0
2017-05-14,0.0
2017-05-21,0.0
2017-05-28,0.0
2017-06-04,72.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,0.0
2017-07-02,0.0
2017-07-09,0.0
2017-07-16,0.0
2017-07-23,0.0
2017-07-30,0.0
2017-08-06,0.0
2017-08-13,63.0
2017-08-20,0.0
2017-08-27,0.0
2017-09-03,53.0
2017-09-10,70.0
2017-09-17,0.0
2017-09-24,59.0
2017-10-01,48.0
2017-10-08,54.0
2017-10-15,68.0
2017-10-22,0.0
2017-10-29,0.0
2017-11-05,53.0
2017-11-12,49.0
2017-11-19,89.0
2017-11-26,82.0
2017-12-03,0.0
2017-12-10,0.0
2017-12-17,0.0
2017-12-24,58.0
2017-12-31,0.0
2018-01-07,60.0
2018-01-14,62.0
2018-01-21,64.0
2018-01-28,49.0
2018-02-04,0.0
2018-02-11,47.0
2018-02-18,64.0
2018-02-25,68.0
2018-03-04,49.0
2018-03-11,0.0
2018-03-18,0.0
2018-03-25,68.0
2018-04-01,66.0
2018-04-08,44.0
2018-04-15,64.0
2018-04-22,0.0
2018-04-29,0.0
2018-05-06,0.0
2018-05-13,0.0
2018-05-20,54.0
2018-05-27,49.0
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,46.0
2018-07-01,0.0
2018-07-08,59.0
2018-07-15,55.0
2018-07-22,0.0
2018-07-29,47.0
2018-08-05,55.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,0.0
2018-09-02,71.0
2018-09-09,0.0
2018-09-16,52.0
2018-09-23,0.0
2018-09-30,0.0
2018-10-07,58.0
