,Footwear
2014-12-28,43
2015-01-04,41
2015-01-11,40
2015-01-18,39
2015-01-25,39
2015-02-01,36
2015-02-08,37
2015-02-15,36
2015-02-22,33
2015-03-01,32
2015-03-08,33
2015-03-15,34
2015-03-22,35
2015-03-29,34
2015-04-05,33
2015-04-12,35
2015-04-19,33
2015-04-26,33
2015-05-03,32
2015-05-10,33
2015-05-17,32
2015-05-24,32
2015-05-31,34
2015-06-07,33
2015-06-14,34
2015-06-21,37
2015-06-28,43
2015-07-05,47
2015-07-12,48
2015-07-19,43
2015-07-26,45
2015-08-02,44
2015-08-09,45
2015-08-16,41
2015-08-23,39
2015-08-30,39
2015-09-06,39
2015-09-13,40
2015-09-20,40
2015-09-27,41
2015-10-04,42
2015-10-11,52
2015-10-18,45
2015-10-25,46
2015-11-01,48
2015-11-08,43
2015-11-15,39
2015-11-22,42
2015-11-29,41
2015-12-06,44
2015-12-13,47
2015-12-20,52
2015-12-27,49
2016-01-03,45
2016-01-10,43
2016-01-17,45
2016-01-24,45
2016-01-31,42
2016-02-07,43
2016-02-14,39
2016-02-21,40
2016-02-28,41
2016-03-06,42
2016-03-13,39
2016-03-20,39
2016-03-27,40
2016-04-03,42
2016-04-10,41
2016-04-17,38
2016-04-24,40
2016-05-01,41
2016-05-08,39
2016-05-15,40
2016-05-22,38
2016-05-29,39
2016-06-05,43
2016-06-12,42
2016-06-19,46
2016-06-26,50
2016-07-03,53
2016-07-10,47
2016-07-17,46
2016-07-24,49
2016-07-31,46
2016-08-07,48
2016-08-14,47
2016-08-21,45
2016-08-28,46
2016-09-04,48
2016-09-11,52
2016-09-18,52
2016-09-25,53
2016-10-02,62
2016-10-09,54
2016-10-16,57
2016-10-23,56
2016-10-30,50
2016-11-06,46
2016-11-13,43
2016-11-20,50
2016-11-27,52
2016-12-04,53
2016-12-11,56
2016-12-18,60
2016-12-25,61
2017-01-01,58
2017-01-08,54
2017-01-15,55
2017-01-22,54
2017-01-29,50
2017-02-05,52
2017-02-12,52
2017-02-19,48
2017-02-26,47
2017-03-05,45
2017-03-12,45
2017-03-19,47
2017-03-26,46
2017-04-02,45
2017-04-09,49
2017-04-16,47
2017-04-23,47
2017-04-30,45
2017-05-07,47
2017-05-14,46
2017-05-21,48
2017-05-28,48
2017-06-04,54
2017-06-11,56
2017-06-18,57
2017-06-25,57
2017-07-02,53
2017-07-09,53
2017-07-16,53
2017-07-23,50
2017-07-30,53
2017-08-06,52
2017-08-13,52
2017-08-20,48
2017-08-27,52
2017-09-03,52
2017-09-10,54
2017-09-17,58
2017-09-24,53
2017-10-01,56
2017-10-08,63
2017-10-15,57
2017-10-22,55
2017-10-29,57
2017-11-05,59
2017-11-12,62
2017-11-19,61
2017-11-26,62
2017-12-03,61
2017-12-10,59
2017-12-17,70
2017-12-24,71
2017-12-31,64
2018-01-07,64
2018-01-14,61
2018-01-21,64
2018-01-28,64
2018-02-04,65
2018-02-11,63
2018-02-18,56
2018-02-25,51
2018-03-04,52
2018-03-11,52
2018-03-18,56
2018-03-25,58
2018-04-01,56
2018-04-08,57
2018-04-15,57
2018-04-22,57
2018-04-29,55
2018-05-06,56
2018-05-13,54
2018-05-20,55
2018-05-27,59
2018-06-03,63
2018-06-10,67
2018-06-17,64
2018-06-24,60
2018-07-01,60
2018-07-08,62
2018-07-15,60
2018-07-22,59
2018-07-29,63
2018-08-05,66
2018-08-12,64
2018-08-19,61
2018-08-26,62
2018-09-02,69
2018-09-09,66
2018-09-16,69
2018-09-23,70
2018-09-30,74
2018-10-07,87
2018-10-14,78
2018-10-21,86
2018-10-28,88
2018-11-04,78
2018-11-11,76
2018-11-18,78
2018-11-25,78
2018-12-02,81
2018-12-09,80
2018-12-16,84
2018-12-23,96
2018-12-30,82
2019-01-06,82
2019-01-13,76
2019-01-20,80
2019-01-27,77
2019-02-03,76
2019-02-10,76
2019-02-17,71
2019-02-24,70
2019-03-03,74
2019-03-10,71
2019-03-17,75
2019-03-24,70
2019-03-31,66
2019-04-07,65
2019-04-14,65
2019-04-21,61
2019-04-28,67
2019-05-05,70
2019-05-12,71
2019-05-19,70
2019-05-26,72
2019-06-02,70
2019-06-09,70
2019-06-16,74
2019-06-23,73
2019-06-30,64
2019-07-07,67
2019-07-14,71
2019-07-21,72
2019-07-28,70
2019-08-04,69
2019-08-11,67
2019-08-18,72
2019-08-25,70
2019-09-01,67
2019-09-08,72
2019-09-15,71
2019-09-22,74
2019-09-29,90
2019-10-06,75
2019-10-13,79
2019-10-20,79
2019-10-27,76
2019-11-03,97
2019-11-10,96
2019-11-17,87
2019-11-24,79
2019-12-01,81
2019-12-08,79
2019-12-15,83
2019-12-22,100
2019-12-29,94
2020-01-05,82
