,Sports
2018-12-30,33
2019-01-06,26
2019-01-13,18
2019-01-20,24
2019-01-27,22
2019-02-03,19
2019-02-10,34
2019-02-17,33
2019-02-24,22
2019-03-03,34
2019-03-10,34
2019-03-17,26
2019-03-24,36
2019-03-31,24
2019-04-07,22
2019-04-14,23
2019-04-21,21
2019-04-28,22
2019-05-05,23
2019-05-12,21
2019-05-19,24
2019-05-26,38
2019-06-02,71
2019-06-09,64
2019-06-16,72
2019-06-23,75
2019-06-30,77
2019-07-07,45
2019-07-14,28
2019-07-21,25
2019-07-28,28
2019-08-04,19
2019-08-11,29
2019-08-18,26
2019-08-25,21
2019-09-01,27
2019-09-08,14
2019-09-15,15
2019-09-22,16
2019-09-29,30
2019-10-06,25
2019-10-13,13
2019-10-20,15
2019-10-27,26
2019-11-03,15
2019-11-10,14
2019-11-17,12
2019-11-24,12
2019-12-01,14
2019-12-08,23
2019-12-15,28
2019-12-22,21
2019-12-29,14
2020-01-05,28
2020-01-12,19
2020-01-19,29
2020-01-26,31
2020-02-02,19
2020-02-09,17
2020-02-16,22
2020-02-23,28
2020-03-01,34
2020-03-08,16
2020-03-15,7
2020-03-22,6
2020-03-29,6
2020-04-05,7
2020-04-12,6
2020-04-19,6
2020-04-26,6
2020-05-03,6
2020-05-10,7
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,7
2020-06-14,8
2020-06-21,8
2020-06-28,8
2020-07-05,10
2020-07-12,11
2020-07-19,10
2020-07-26,10
2020-08-02,10
2020-08-09,10
2020-08-16,10
2020-08-23,10
2020-08-30,11
2020-09-06,10
2020-09-13,13
2020-09-20,21
2020-09-27,20
2020-10-04,24
2020-10-11,23
2020-10-18,26
2020-10-25,27
2020-11-01,24
2020-11-08,16
2020-11-15,10
2020-11-22,18
2020-11-29,23
2020-12-06,17
2020-12-13,16
2020-12-20,15
2020-12-27,22
2021-01-03,20
2021-01-10,24
2021-01-17,30
2021-01-24,23
2021-01-31,16
2021-02-07,21
2021-02-14,18
2021-02-21,15
2021-02-28,23
2021-03-07,27
2021-03-14,26
2021-03-21,34
2021-03-28,34
2021-04-04,17
2021-04-11,19
2021-04-18,35
2021-04-25,40
2021-05-02,21
2021-05-09,11
2021-05-16,11
2021-05-23,26
2021-05-30,15
2021-06-06,16
2021-06-13,18
2021-06-20,36
2021-06-27,37
2021-07-04,25
2021-07-11,23
2021-07-18,33
2021-07-25,35
2021-08-01,27
2021-08-08,25
2021-08-15,21
2021-08-22,25
2021-08-29,33
2021-09-05,37
2021-09-12,22
2021-09-19,26
2021-09-26,27
2021-10-03,30
2021-10-10,30
2021-10-17,46
2021-10-24,67
2021-10-31,63
2021-11-07,32
2021-11-14,20
2021-11-21,33
2021-11-28,34
2021-12-05,21
2021-12-12,20
2021-12-19,17
2021-12-26,19
2022-01-02,19
2022-01-09,20
2022-01-16,27
2022-01-23,21
2022-01-30,17
2022-02-06,22
2022-02-13,29
2022-02-20,30
2022-02-27,27
2022-03-06,24
2022-03-13,23
2022-03-20,20
2022-03-27,34
2022-04-03,29
2022-04-10,30
2022-04-17,31
2022-04-24,31
2022-05-01,32
2022-05-08,29
2022-05-15,47
2022-05-22,48
2022-05-29,25
2022-06-05,31
2022-06-12,40
2022-06-19,45
2022-06-26,34
2022-07-03,40
2022-07-10,42
2022-07-17,47
2022-07-24,49
2022-07-31,24
2022-08-07,20
2022-08-14,19
2022-08-21,24
2022-08-28,47
2022-09-04,57
2022-09-11,35
2022-09-18,27
2022-09-25,27
2022-10-02,26
2022-10-09,33
2022-10-16,71
2022-10-23,94
2022-10-30,89
2022-11-06,46
2022-11-13,33
2022-11-20,50
2022-11-27,55
2022-12-04,52
2022-12-11,38
2022-12-18,33
2022-12-25,19
2023-01-01,36
2023-01-08,36
2023-01-15,30
2023-01-22,24
2023-01-29,21
2023-02-05,22
2023-02-12,26
2023-02-19,22
2023-02-26,22
2023-03-05,33
2023-03-12,32
2023-03-19,28
2023-03-26,30
2023-04-02,40
2023-04-09,28
2023-04-16,42
2023-04-23,52
2023-04-30,35
2023-05-07,35
2023-05-14,35
2023-05-21,35
2023-05-28,36
2023-06-04,35
2023-06-11,26
2023-06-18,37
2023-06-25,47
2023-07-02,41
2023-07-09,32
2023-07-16,47
2023-07-23,35
2023-07-30,26
2023-08-06,23
2023-08-13,21
2023-08-20,21
2023-08-27,43
2023-09-03,56
2023-09-10,100
2023-09-17,37
2023-09-24,35
2023-10-01,55
2023-10-08,77
2023-10-15,72
2023-10-22,90
2023-10-29,86
2023-11-05,83
2023-11-12,48
2023-11-19,40
2023-11-26,22
2023-12-03,18
2023-12-10,20
2023-12-17,19
2023-12-24,19
2023-12-31,21
2024-01-07,23
