,Book Retailers
2014-12-28,2.0
2015-01-04,2.0
2015-01-11,2.0
2015-01-18,3.0
2015-01-25,3.0
2015-02-01,3.0
2015-02-08,5.0
2015-02-15,3.0
2015-02-22,3.0
2015-03-01,2.0
2015-03-08,3.0
2015-03-15,3.0
2015-03-22,3.0
2015-03-29,3.0
2015-04-05,3.0
2015-04-12,3.0
2015-04-19,3.0
2015-04-26,2.0
2015-05-03,2.0
2015-05-10,3.0
2015-05-17,3.0
2015-05-24,3.0
2015-05-31,3.0
2015-06-07,3.0
2015-06-14,2.0
2015-06-21,3.0
2015-06-28,4.0
2015-07-05,4.0
2015-07-12,4.0
2015-07-19,5.0
2015-07-26,4.0
2015-08-02,4.0
2015-08-09,6.0
2015-08-16,5.0
2015-08-23,4.0
2015-08-30,4.0
2015-09-06,5.0
2015-09-13,6.0
2015-09-20,6.0
2015-09-27,6.0
2015-10-04,6.0
2015-10-11,6.0
2015-10-18,8.0
2015-10-25,7.0
2015-11-01,5.0
2015-11-08,5.0
2015-11-15,3.0
2015-11-22,3.0
2015-11-29,3.0
2015-12-06,3.0
2015-12-13,4.0
2015-12-20,3.0
2015-12-27,3.0
2016-01-03,3.0
2016-01-10,3.0
2016-01-17,3.0
2016-01-24,3.0
2016-01-31,3.0
2016-02-07,3.0
2016-02-14,3.0
2016-02-21,3.0
2016-02-28,3.0
2016-03-06,3.0
2016-03-13,3.0
2016-03-20,3.0
2016-03-27,3.0
2016-04-03,3.0
2016-04-10,3.0
2016-04-17,3.0
2016-04-24,3.0
2016-05-01,3.0
2016-05-08,3.0
2016-05-15,7.0
2016-05-22,3.0
2016-05-29,3.0
2016-06-05,3.0
2016-06-12,3.0
2016-06-19,3.0
2016-06-26,3.0
2016-07-03,3.0
2016-07-10,3.0
2016-07-17,3.0
2016-07-24,3.0
2016-07-31,3.0
2016-08-07,3.0
2016-08-14,3.0
2016-08-21,4.0
2016-08-28,3.0
2016-09-04,3.0
2016-09-11,3.0
2016-09-18,3.0
2016-09-25,3.0
2016-10-02,3.0
2016-10-09,3.0
2016-10-16,3.0
2016-10-23,3.0
2016-10-30,3.0
2016-11-06,3.0
2016-11-13,3.0
2016-11-20,3.0
2016-11-27,3.0
2016-12-04,3.0
2016-12-11,3.0
2016-12-18,3.0
2016-12-25,3.0
2017-01-01,4.0
2017-01-08,3.0
2017-01-15,3.0
2017-01-22,3.0
2017-01-29,4.0
2017-02-05,4.0
2017-02-12,4.0
2017-02-19,3.0
2017-02-26,3.0
2017-03-05,13.0
2017-03-12,4.0
2017-03-19,3.0
2017-03-26,3.0
2017-04-02,3.0
2017-04-09,3.0
2017-04-16,3.0
2017-04-23,3.0
2017-04-30,3.0
2017-05-07,3.0
2017-05-14,3.0
2017-05-21,3.0
2017-05-28,3.0
2017-06-04,3.0
2017-06-11,3.0
2017-06-18,4.0
2017-06-25,3.0
2017-07-02,4.0
2017-07-09,4.0
2017-07-16,4.0
2017-07-23,3.0
2017-07-30,3.0
2017-08-06,3.0
2017-08-13,3.0
2017-08-20,3.0
2017-08-27,3.0
2017-09-03,3.0
2017-09-10,3.0
2017-09-17,3.0
2017-09-24,3.0
2017-10-01,3.0
2017-10-08,3.0
2017-10-15,3.0
2017-10-22,3.0
2017-10-29,3.0
2017-11-05,3.0
2017-11-12,3.0
2017-11-19,3.0
2017-11-26,3.0
2017-12-03,3.0
2017-12-10,3.0
2017-12-17,11.0
2017-12-24,3.0
2017-12-31,3.0
2018-01-07,3.0
2018-01-14,3.0
2018-01-21,3.0
2018-01-28,3.0
2018-02-04,3.0
2018-02-11,3.0
2018-02-18,3.0
2018-02-25,4.0
2018-03-04,3.0
2018-03-11,4.0
2018-03-18,3.0
2018-03-25,3.0
2018-04-01,4.0
2018-04-08,4.0
2018-04-15,3.0
2018-04-22,3.0
2018-04-29,3.0
2018-05-06,4.0
2018-05-13,10.0
2018-05-20,3.0
2018-05-27,4.0
2018-06-03,4.0
2018-06-10,4.0
2018-06-17,4.0
2018-06-24,4.0
2018-07-01,4.0
2018-07-08,4.0
2018-07-15,4.0
2018-07-22,4.0
2018-07-29,4.0
2018-08-05,4.0
2018-08-12,4.0
2018-08-19,4.0
2018-08-26,5.0
2018-09-02,5.0
2018-09-09,5.0
2018-09-16,5.0
2018-09-23,5.0
2018-09-30,5.0
2018-10-07,5.0
2018-10-14,5.0
2018-10-21,5.0
2018-10-28,6.0
2018-11-04,4.0
2018-11-11,5.0
2018-11-18,6.0
2018-11-25,5.0
2018-12-02,5.0
2018-12-09,37.0
2018-12-16,5.0
2018-12-23,5.0
2018-12-30,4.0
2019-01-06,4.0
2019-01-13,4.0
2019-01-20,4.0
2019-01-27,4.0
2019-02-03,4.0
2019-02-10,5.0
2019-02-17,5.0
2019-02-24,5.0
2019-03-03,5.0
2019-03-10,8.0
2019-03-17,7.0
2019-03-24,7.0
2019-03-31,8.0
2019-04-07,8.0
2019-04-14,7.0
2019-04-21,6.0
