,job
2018-12-30,80
2019-01-06,88
2019-01-13,79
2019-01-20,83
2019-01-27,75
2019-02-03,70
2019-02-10,73
2019-02-17,73
2019-02-24,74
2019-03-03,68
2019-03-10,74
2019-03-17,65
2019-03-24,69
2019-03-31,67
2019-04-07,57
2019-04-14,60
2019-04-21,53
2019-04-28,71
2019-05-05,77
2019-05-12,71
2019-05-19,88
2019-05-26,87
2019-06-02,76
2019-06-09,82
2019-06-16,79
2019-06-23,83
2019-06-30,88
2019-07-07,90
2019-07-14,71
2019-07-21,83
2019-07-28,80
2019-08-04,77
2019-08-11,69
2019-08-18,66
2019-08-25,58
2019-09-01,83
2019-09-08,91
2019-09-15,100
2019-09-22,88
2019-09-29,84
2019-10-06,76
2019-10-13,82
2019-10-20,79
2019-10-27,74
2019-11-03,70
2019-11-10,59
2019-11-17,75
2019-11-24,83
2019-12-01,81
2019-12-08,71
2019-12-15,73
2019-12-22,66
2019-12-29,86
2020-01-05,87
2020-01-12,94
2020-01-19,93
2020-01-26,83
2020-02-02,87
2020-02-09,89
2020-02-16,88
2020-02-23,88
2020-03-01,84
2020-03-08,64
2020-03-15,39
2020-03-22,28
2020-03-29,25
2020-04-05,25
2020-04-12,28
2020-04-19,33
2020-04-26,30
2020-05-03,37
2020-05-10,49
2020-05-17,50
2020-05-24,54
2020-05-31,58
2020-06-07,61
2020-06-14,62
2020-06-21,68
2020-06-28,64
2020-07-05,64
2020-07-12,60
2020-07-19,66
2020-07-26,59
2020-08-02,50
2020-08-09,66
2020-08-16,92
2020-08-23,83
2020-08-30,79
2020-09-06,83
2020-09-13,80
2020-09-20,72
2020-09-27,65
2020-10-04,51
2020-10-11,59
2020-10-18,54
2020-10-25,47
2020-11-01,48
2020-11-08,55
2020-11-15,57
2020-11-22,61
2020-11-29,63
2020-12-06,63
2020-12-13,60
2020-12-20,55
2020-12-27,54
2021-01-03,71
2021-01-10,62
2021-01-17,64
2021-01-24,58
2021-01-31,62
2021-02-07,66
2021-02-14,66
2021-02-21,64
2021-02-28,65
2021-03-07,63
2021-03-14,66
2021-03-21,61
2021-03-28,55
2021-04-04,57
2021-04-11,42
2021-04-18,64
2021-04-25,52
2021-05-02,62
2021-05-09,51
2021-05-16,50
2021-05-23,47
2021-05-30,55
2021-06-06,48
2021-06-13,50
2021-06-20,52
2021-06-27,54
2021-07-04,60
2021-07-11,61
2021-07-18,57
2021-07-25,52
2021-08-01,62
2021-08-08,52
2021-08-15,49
2021-08-22,47
2021-08-29,52
2021-09-05,48
2021-09-12,54
2021-09-19,52
2021-09-26,55
2021-10-03,46
2021-10-10,6
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,1
2021-12-05,1
2021-12-12,2
2021-12-19,1
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,2
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,2
2022-04-24,2
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,2
2022-11-06,2
2022-11-13,1
2022-11-20,1
2022-11-27,2
2022-12-04,1
2022-12-11,2
2022-12-18,1
2022-12-25,1
2023-01-01,2
2023-01-08,1
2023-01-15,1
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,1
2023-02-19,2
2023-02-26,3
2023-03-05,11
2023-03-12,14
2023-03-19,15
2023-03-26,12
2023-04-02,11
2023-04-09,9
2023-04-16,13
2023-04-23,11
2023-04-30,12
2023-05-07,13
2023-05-14,15
2023-05-21,11
2023-05-28,9
2023-06-04,11
2023-06-11,11
2023-06-18,11
2023-06-25,8
2023-07-02,8
2023-07-09,5
2023-07-16,57
2023-07-23,56
2023-07-30,63
2023-08-06,59
2023-08-13,61
2023-08-20,60
2023-08-27,54
2023-09-03,59
2023-09-10,50
2023-09-17,55
2023-09-24,49
2023-10-01,48
2023-10-08,42
2023-10-15,45
2023-10-22,41
2023-10-29,41
2023-11-05,42
2023-11-12,50
2023-11-19,45
2023-11-26,49
2023-12-03,57
2023-12-10,52
2023-12-17,44
2023-12-24,44
2023-12-31,56
2024-01-07,50
