,Business & Industrial
2014-12-28,67
2015-01-04,65
2015-01-11,60
2015-01-18,61
2015-01-25,58
2015-02-01,61
2015-02-08,60
2015-02-15,66
2015-02-22,62
2015-03-01,64
2015-03-08,61
2015-03-15,63
2015-03-22,63
2015-03-29,63
2015-04-05,65
2015-04-12,63
2015-04-19,62
2015-04-26,65
2015-05-03,64
2015-05-10,67
2015-05-17,66
2015-05-24,56
2015-05-31,66
2015-06-07,63
2015-06-14,64
2015-06-21,74
2015-06-28,86
2015-07-05,89
2015-07-12,89
2015-07-19,89
2015-07-26,87
2015-08-02,88
2015-08-09,83
2015-08-16,86
2015-08-23,82
2015-08-30,86
2015-09-06,82
2015-09-13,77
2015-09-20,80
2015-09-27,77
2015-10-04,79
2015-10-11,80
2015-10-18,74
2015-10-25,80
2015-11-01,74
2015-11-08,63
2015-11-15,74
2015-11-22,71
2015-11-29,72
2015-12-06,73
2015-12-13,75
2015-12-20,76
2015-12-27,74
2016-01-03,77
2016-01-10,77
2016-01-17,73
2016-01-24,73
2016-01-31,75
2016-02-07,75
2016-02-14,74
2016-02-21,74
2016-02-28,80
2016-03-06,79
2016-03-13,77
2016-03-20,71
2016-03-27,75
2016-04-03,73
2016-04-10,76
2016-04-17,79
2016-04-24,77
2016-05-01,78
2016-05-08,81
2016-05-15,77
2016-05-22,82
2016-05-29,82
2016-06-05,80
2016-06-12,84
2016-06-19,85
2016-06-26,79
2016-07-03,85
2016-07-10,80
2016-07-17,85
2016-07-24,85
2016-07-31,82
2016-08-07,89
2016-08-14,79
2016-08-21,81
2016-08-28,82
2016-09-04,71
2016-09-11,75
2016-09-18,81
2016-09-25,80
2016-10-02,78
2016-10-09,74
2016-10-16,84
2016-10-23,75
2016-10-30,74
2016-11-06,74
2016-11-13,73
2016-11-20,78
2016-11-27,78
2016-12-04,79
2016-12-11,80
2016-12-18,84
2016-12-25,83
2017-01-01,85
2017-01-08,79
2017-01-15,79
2017-01-22,75
2017-01-29,81
2017-02-05,78
2017-02-12,79
2017-02-19,80
2017-02-26,78
2017-03-05,75
2017-03-12,72
2017-03-19,79
2017-03-26,80
2017-04-02,80
2017-04-09,83
2017-04-16,82
2017-04-23,84
2017-04-30,78
2017-05-07,79
2017-05-14,85
2017-05-21,87
2017-05-28,83
2017-06-04,82
2017-06-11,81
2017-06-18,85
2017-06-25,87
2017-07-02,88
2017-07-09,85
2017-07-16,89
2017-07-23,84
2017-07-30,85
2017-08-06,82
2017-08-13,81
2017-08-20,79
2017-08-27,74
2017-09-03,78
2017-09-10,81
2017-09-17,79
2017-09-24,76
2017-10-01,78
2017-10-08,85
2017-10-15,71
2017-10-22,83
2017-10-29,84
2017-11-05,88
2017-11-12,81
2017-11-19,84
2017-11-26,82
2017-12-03,83
2017-12-10,84
2017-12-17,85
2017-12-24,89
2017-12-31,84
2018-01-07,85
2018-01-14,82
2018-01-21,79
2018-01-28,85
2018-02-04,86
2018-02-11,89
2018-02-18,85
2018-02-25,78
2018-03-04,84
2018-03-11,87
2018-03-18,89
2018-03-25,88
2018-04-01,85
2018-04-08,82
2018-04-15,85
2018-04-22,84
2018-04-29,84
2018-05-06,82
2018-05-13,86
2018-05-20,88
2018-05-27,86
2018-06-03,88
2018-06-10,94
2018-06-17,88
2018-06-24,89
2018-07-01,90
2018-07-08,86
2018-07-15,91
2018-07-22,95
2018-07-29,92
2018-08-05,90
2018-08-12,88
2018-08-19,89
2018-08-26,90
2018-09-02,95
2018-09-09,96
2018-09-16,95
2018-09-23,95
2018-09-30,93
2018-10-07,95
2018-10-14,86
2018-10-21,94
2018-10-28,100
2018-11-04,75
2018-11-11,90
2018-11-18,89
2018-11-25,87
2018-12-02,87
2018-12-09,91
2018-12-16,94
2018-12-23,93
2018-12-30,94
2019-01-06,95
2019-01-13,86
2019-01-20,89
2019-01-27,90
2019-02-03,90
2019-02-10,91
2019-02-17,93
2019-02-24,91
2019-03-03,91
2019-03-10,93
2019-03-17,85
2019-03-24,94
2019-03-31,87
2019-04-07,86
2019-04-14,87
2019-04-21,83
2019-04-28,82
2019-05-05,88
2019-05-12,87
2019-05-19,87
2019-05-26,92
2019-06-02,87
2019-06-09,87
2019-06-16,91
2019-06-23,90
2019-06-30,86
2019-07-07,86
2019-07-14,93
2019-07-21,98
2019-07-28,91
2019-08-04,87
2019-08-11,87
2019-08-18,91
2019-08-25,95
2019-09-01,87
2019-09-08,92
2019-09-15,92
2019-09-22,91
2019-09-29,87
2019-10-06,78
2019-10-13,83
2019-10-20,78
2019-10-27,76
2019-11-03,86
2019-11-10,82
2019-11-17,86
2019-11-24,84
2019-12-01,84
2019-12-08,83
2019-12-15,84
2019-12-22,87
2019-12-29,82
2020-01-05,86
