,Doctors' Offices
2014-12-28,42.0
2015-01-04,44.0
2015-01-11,47.0
2015-01-18,50.0
2015-01-25,41.0
2015-02-01,43.0
2015-02-08,46.0
2015-02-15,44.0
2015-02-22,41.0
2015-03-01,36.0
2015-03-08,53.0
2015-03-15,58.0
2015-03-22,48.0
2015-03-29,45.0
2015-04-05,47.0
2015-04-12,37.0
2015-04-19,59.0
2015-04-26,50.0
2015-05-03,50.0
2015-05-10,54.0
2015-05-17,41.0
2015-05-24,47.0
2015-05-31,46.0
2015-06-07,47.0
2015-06-14,45.0
2015-06-21,55.0
2015-06-28,48.0
2015-07-05,57.0
2015-07-12,53.0
2015-07-19,45.0
2015-07-26,45.0
2015-08-02,42.0
2015-08-09,44.0
2015-08-16,30.0
2015-08-23,44.0
2015-08-30,63.0
2015-09-06,50.0
2015-09-13,56.0
2015-09-20,54.0
2015-09-27,49.0
2015-10-04,62.0
2015-10-11,50.0
2015-10-18,48.0
2015-10-25,51.0
2015-11-01,53.0
2015-11-08,68.0
2015-11-15,48.0
2015-11-22,49.0
2015-11-29,68.0
2015-12-06,47.0
2015-12-13,57.0
2015-12-20,58.0
2015-12-27,47.0
2016-01-03,57.0
2016-01-10,50.0
2016-01-17,54.0
2016-01-24,57.0
2016-01-31,65.0
2016-02-07,56.0
2016-02-14,51.0
2016-02-21,64.0
2016-02-28,63.0
2016-03-06,60.0
2016-03-13,54.0
2016-03-20,52.0
2016-03-27,52.0
2016-04-03,54.0
2016-04-10,38.0
2016-04-17,69.0
2016-04-24,62.0
2016-05-01,56.0
2016-05-08,50.0
2016-05-15,45.0
2016-05-22,48.0
2016-05-29,76.0
2016-06-05,55.0
2016-06-12,48.0
2016-06-19,60.0
2016-06-26,63.0
2016-07-03,68.0
2016-07-10,63.0
2016-07-17,63.0
2016-07-24,54.0
2016-07-31,63.0
2016-08-07,65.0
2016-08-14,65.0
2016-08-21,53.0
2016-08-28,66.0
2016-09-04,65.0
2016-09-11,63.0
2016-09-18,56.0
2016-09-25,54.0
2016-10-02,65.0
2016-10-09,65.0
2016-10-16,57.0
2016-10-23,59.0
2016-10-30,62.0
2016-11-06,56.0
2016-11-13,43.0
2016-11-20,53.0
2016-11-27,61.0
2016-12-04,51.0
2016-12-11,52.0
2016-12-18,65.0
2016-12-25,71.0
2017-01-01,71.0
2017-01-08,66.0
2017-01-15,63.0
2017-01-22,63.0
2017-01-29,64.0
2017-02-05,58.0
2017-02-12,69.0
2017-02-19,75.0
2017-02-26,68.0
2017-03-05,67.0
2017-03-12,69.0
2017-03-19,59.0
2017-03-26,61.0
2017-04-02,52.0
2017-04-09,40.0
2017-04-16,64.0
2017-04-23,73.0
2017-04-30,70.0
2017-05-07,57.0
2017-05-14,52.0
2017-05-21,59.0
2017-05-28,59.0
2017-06-04,60.0
2017-06-11,52.0
2017-06-18,64.0
2017-06-25,61.0
2017-07-02,69.0
2017-07-09,66.0
2017-07-16,58.0
2017-07-23,56.0
2017-07-30,64.0
2017-08-06,63.0
2017-08-13,62.0
2017-08-20,68.0
2017-08-27,50.0
2017-09-03,55.0
2017-09-10,56.0
2017-09-17,67.0
2017-09-24,63.0
2017-10-01,61.0
2017-10-08,69.0
2017-10-15,59.0
2017-10-22,61.0
2017-10-29,63.0
2017-11-05,63.0
2017-11-12,55.0
2017-11-19,62.0
2017-11-26,54.0
2017-12-03,63.0
2017-12-10,66.0
2017-12-17,63.0
2017-12-24,69.0
2017-12-31,66.0
2018-01-07,64.0
2018-01-14,63.0
2018-01-21,69.0
2018-01-28,67.0
2018-02-04,66.0
2018-02-11,65.0
2018-02-18,65.0
2018-02-25,67.0
2018-03-04,53.0
2018-03-11,57.0
2018-03-18,61.0
2018-03-25,63.0
2018-04-01,68.0
2018-04-08,54.0
2018-04-15,68.0
2018-04-22,66.0
2018-04-29,66.0
2018-05-06,67.0
2018-05-13,73.0
2018-05-20,65.0
2018-05-27,62.0
2018-06-03,73.0
2018-06-10,62.0
2018-06-17,67.0
2018-06-24,62.0
2018-07-01,75.0
2018-07-08,68.0
2018-07-15,68.0
2018-07-22,78.0
2018-07-29,77.0
2018-08-05,76.0
2018-08-12,72.0
2018-08-19,69.0
2018-08-26,89.0
2018-09-02,77.0
2018-09-09,79.0
2018-09-16,63.0
2018-09-23,70.0
2018-09-30,71.0
2018-10-07,76.0
2018-10-14,67.0
2018-10-21,84.0
2018-10-28,68.0
2018-11-04,76.0
2018-11-11,67.0
2018-11-18,68.0
2018-11-25,82.0
2018-12-02,71.0
2018-12-09,71.0
2018-12-16,66.0
2018-12-23,90.0
2018-12-30,69.0
2019-01-06,84.0
2019-01-13,80.0
2019-01-20,76.0
2019-01-27,76.0
2019-02-03,81.0
2019-02-10,89.0
2019-02-17,87.0
2019-02-24,89.0
2019-03-03,90.0
2019-03-10,94.0
2019-03-17,79.0
2019-03-24,79.0
2019-03-31,74.0
2019-04-07,65.0
2019-04-14,72.0
2019-04-21,58.0
2019-04-28,73.0
2019-05-05,66.0
2019-05-12,63.0
2019-05-19,69.0
2019-05-26,81.0
